Party voted for in last national election, Finland
1,The National Coalition Party
2,The Swedish People´s Party (SPP)
3,The Centre Party
4,True Finns
5,Christian Democrats
6,Freedom Party
7,Change 2011
8,Pirate Party
9,Senior Citizens' Party
10,Independence Party
11,For the Poor
12,Green League
13,Social Democratic Party
14,Left Alliance
15,Communist Party
16,The Communist Workers' Party
17,Workers Party
18,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
