Party voted for in last national election, Cyprus
1,Progressive Party of Working People (AKEL)
2,Democratic Party (DIKO)
3,Democratic Rally (DISY)
4,European Party (EVROKO)
5,The Cyprus Green Party
6,Social Democrats (KS EDEK)
7,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
