Party voted for in last national election, Iceland
1,Samfylkinguna
2,Framsóknarflokkinn
3,Sjálfstæðisflokkinn
4,Vinstri hreyfinguna-Grænt framboð
5,Frjálslynda flokkinn
6,Borgarahreyfinguna
7,Lýðræðishreyfinguna
8,Skilaði auðu/ógildu
66,Not applicable
77,Refusal
88,Don't know
99,No answer
