Party voted for in last national election 2, Germany
1,SPD
2,CDU/CSU
3,Bundnis 90/Die Grunen
4,FDP
5,Die Linke
6,Die Republikaner
7,NPD
8,Piratenpartei
9,Andere Partei
66,Not applicable
77,Refusal
88,Don't know
99,No answer
