Party voted for in last national election, Albania
1,Partia Socialiste e Shqipërisë (PS)
2,Partia Demokratike e Shqipërisë (PD)
3,Lëvizja Socialiste për Integrim (LSI)
4,Partia Republikane e Shqipërisë (PR)
5,Partia Socialdemokrate e Shqipërisë (PSD)
6,Partia Drejtësi, Integrim dhe Unitet (PDIU)
7,Partia Bashkimi për të Drejtat e Njeriut (PBDNJ)
8,Other
66,Not applicable
77,Refusal
88,Don't know
99,No answer
